name,image,availability,deckcode,type,subtype,rarity,attribute,class,cost,power,health,uses,ability,aactivate,activate,aassemble,assemble,banish,abattle,battle,beastform,abetray,betray,abreakthrough,breakthrough,change,acharge,charge,aconsume,consume,copy,acover,cover,adrain,drain,aempower,empower,aequip,equip,aexalt,exalt,aexpertise,expertise,aguard,guard,aheal,heal,ainvade,invade,alastgasp,lastgasp,alethal,lethal,amobilize,mobilize,amove,move,apilfer,pilfer,plot,aprophecy,prophecy,arally,rally,aregenerate,regenerate,asacrifice,sacrifice,ashackle,shackle,shout,asilence,silence,aslay,slay,steal,asummon,summon,transform,atreasurehunt,treasurehunt,uniqueability,unsummon,aveteran,veteran,award,ward,awaxwane,waxwane,awounded
Cliffside Lookout,LG-card-Cliffside Lookout.png,Heroes of Skyrim,dk,Creature,Nord,Common,Willpower,,3,2,5,,"When you summon a Dragon, Cliffside Lookout gains +1/+1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Clivia Tharn,LG-card-Clivia Tharn.png,Alliance War,sI,Creature,Imperial,Legendary,,The Empire of Cyrodiil,6,4,4,,"Other friendly creatures in this lane have Guard. At the end of your turn, summon a 1/1 Recruit in each lane.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Cloak,LG-card-Cloak.png,Isle of Madness,dl,Item,,Common,Strength,,1,,,,+0/+2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clockwork Apostle,LG-card-Clockwork Apostle.png,Clockwork City,dm,Creature,High Elf,Common,Willpower,,7,3,3,,Summon: Give another friendly creature +4/+4. It becomes Neutral.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Clockwork City Pilgrim,LG-card-Clockwork City Pilgrim.png,Houses of Morrowind,dn,Creature,High Elf,Common,Intelligence,,3,3,3,,Guard Exalt 3: +2/+2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clockwork Dragon,LG-card-Clockwork Dragon.png,Clockwork City,do,Creature,Dragon,Epic,Neutral,,5,4,4,,"Summon: If Clockwork Dragon is in the left lane, +2/+0 and Drain. Otherwise, +0/+2 and Guard.",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Clockwork Scorpion,LG-card-Clockwork Scorpion.png,Clockwork City,dp,Creature,Fabricant,Common,Agility,,6,3,7,,"Drain, Lethal",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Close Call,LG-card-Close Call.png,Madhouse Collection,dq,Action,,Rare,Neutral,,0,,,,Unsummon a friendly creature.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Cloudrest Illusionist,LG-card-Cloudrest Illusionist.png,Core,dr,Creature,High Elf,Epic,Willpower,,4,4,3,,Prophecy Summon: Give a creature -4/-0 this turn.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Cog Collector,LG-card-Cog Collector.png,Clockwork City,ds,Creature,Khajiit,Epic,Agility,,2,1,2,,Pilfer: Add a gear to Cog Collector. Last Gasp: Summon a random Neutral creature with cost equal to the number of gears on Cog Collector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College of Winterhold,LG-card-College of Winterhold.png,Heroes of Skyrim,dt,Support,,Legendary,Intelligence,,5,,,3,"Activate: Look at three random 1-cost actions and choose one to draw. Then, increase the cost of cards this reveals by 1.",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Companion Harbinger (Nord),LG-card-Companion Harbinger.png,Heroes of Skyrim,du,Creature,Nord,Rare,Endurance,,3,3,3,,Beast Form: Give friendly Werewolves +1/+1.,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conjuration Scholar,LG-card-Conjuration Scholar.png,Heroes of Skyrim,dv,Creature,Redguard,Common,Intelligence,,6,1,2,,Summon: Summon a 5/5 Frost Atronach with Guard.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Conjuration Tutor,LG-card-Conjuration Tutor.png,Monthly Card,dw,Creature,Breton,Epic,Intelligence,,6,3,3,,"Summon: Shuffle three Lava Atronach Lava Atronachs into your deck. When you summon an Atronach, summon a copy of it in the other lane.",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,
Conjurer's Spirit,LG-card-Conjurer's Spirit.png,Monthly Card,dx,Support,,Epic,Willpower,,3,,,Ongoing,"At the end of your turn, if you gained health, summon a 2/2 Familiar.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corinthe Brawler,LG-card-Corinthe Brawler.png,Moons of Elsweyr,wX,Creature,Khajiit,Rare,Agility,,5,4,4,,Wax: +1/+1 and your opponent can't target Corinthe Brawler with actions. Wane: Gain 1 magicka this turn for each enemy creature in this lane.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Cornerclub Gambler,LG-card-Cornerclub Gambler.png,Houses of Morrowind,dy,Creature,Wood Elf,Epic,Agility,,3,4,3,,"Summon: You must discard a card. At the start of your turn, draw two cards and Cornerclub Gambler loses this ability.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,
Corprus Disease,LG-card-Corprus Disease.png,Houses of Morrowind,dz,Action,,Rare,Strength,,1,,,,"Silence a creature, then give it +2/+0.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Corrupted Shade,LG-card-Corrupted Shade.png,Heroes of Skyrim,dA,Creature,Spirit,Epic,Endurance,,4,5,5,,"Ward At the end of your turn, if Corrupted Shade doesn't have a Ward, sacrifice it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,
Corsair Ship,LG-card-Corsair Ship.png,Dark Brotherhood,dB,Support,,Rare,Intelligence,,4,,,Ongoing,"Summon: Summon a 1/1 Corsair. When you summon a creature, equip it with a Steel Dagger.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Court Wizard,LG-card-Court Wizard.png,Heroes of Skyrim,dC,Creature,Breton,Common,Intelligence,,5,3,5,,Summon: Draw a card if you have two other Intelligence creatures.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Covenant Mail,LG-card-Covenant Mail.png,Alliance War,sL,Item,,Common,Endurance,,3,,,,"Prophecy, Mobilize, Guard+1/+3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covenant Marauder,LG-card-Covenant Marauder.png,Core,dD,Creature,Orc,Rare,Strength,,1,2,1,,+2/+0 while you have no cards in hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Covenant Masterpiece,LG-card-Covenant Masterpiece.png,Alliance War,sM,Item,,Epic,,Daggerfall Covenant,7,,,,"Mobilize, Breakthrough, Regenerate, Guard, Ward+3/+3",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,
Covenant Oathman,LG-card-Covenant Oathman.png,Alliance War,sN,Creature,Redguard,Common,Intelligence,,4,2,4,,"Summon: If you have a Strength card in play, draw a random item from your deck. Endurance card in play, give an item in your hand +2/+2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Covenant Plate,LG-card-Covenant Plate.png,Alliance War,tE,Item,,Common,Strength,,3,,,,"Prophecy, Mobilize, Guard+3/+1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cradlecrush Giant,LG-card-Cradlecrush Giant.png,Forgotten Hero Collection,dE,Creature,Giant,Rare,Strength,,6,6,4,,Summon: Deal 2 damage to all other creatures in this lane.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Craglorn Scavenger,LG-card-Craglorn Scavenger.png,Core,dF,Creature,Redguard,Rare,Intelligence,,3,1,2,,"When you play or activate a support, Craglorn Scavenger gains +1/+1.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Crassius' Favor,LG-card-Crassius' Favor.png,Houses of Morrowind,dG,Action,,Rare,Willpower,,2,,,,Summon two 1/1 Imperial Grunt Imperial Grunts to a lane. Plot: Gain 1 health for each friendly creature in that lane.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craven Conscript,LG-card-Craven Conscript.png,Alliance War,sO,Creature,Orc,Rare,Strength,,3,5,4,,Craven Conscript is permanently Shackled unless equipped with an item.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,
Crazed Hunger,LG-card-Crazed Hunger.png,Isle of Madness,dH,Creature,Daedra,Common,Agility,,2,0,2,,Charge Crazed Hunger has +2/+0 on your turn.,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
The Crisis Begins,LG-card-The Crisis Begins.png,Jaws of Oblivion,xo,Action,,Common,Willpower,,6,,,,Destroy a creature. Invade.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crocodile Brute,LG-card-Crocodile Brute.png,Moons of Elsweyr,vW,Creature,Reptile,Common,Neutral,,2,2,2,,"Prophecy When Crocodile Brute is Consumed, draw a card.",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crown Quartermaster,LG-card-Crown Quartermaster.png,Core,dI,Creature,Redguard,Common,Intelligence,,1,2,1,,Summon: Put a Steel Dagger into your hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Crucible Blacksmith,LG-card-Crucible Blacksmith.png,Isle of Madness,dJ,Creature,Wood Elf,Common,Intelligence,,2,0,1,,Summon: Draw an item of your choice from your deck.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Cruel Axe,LG-card-Cruel Axe.png,Alliance War,tH,Item,,Rare,Endurance,,2,,,,Mobilize Summon: +1/+1 for each enemy creature in this lane.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Cruel Firebloom,LG-card-Cruel Firebloom.png,Core,dK,Action,,Rare,Intelligence,,0,,,,Sacrifice a creature to deal 5 damage to a random enemy creature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Crusader's Assault,LG-card-Crusader's Assault.png,Heroes of Skyrim,dL,Action,,Rare,,Crusader,3,,,,"Give a creature +2/+0, Breakthrough and ""Slay and Pilfer: Draw a card"" this turn.",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Crushing Blow,LG-card-Crushing Blow.png,Core,dM,Action,,Common,Neutral,,3,,,,Deal 3 damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crystal Tower Crafter,LG-card-Crystal Tower Crafter.png,Core,dO,Creature,High Elf,Common,Intelligence,,2,1,1,,"After you play an action, Crystal Tower Crafter gains +1/+1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Cunning Ally,LG-card-Cunning Ally.png,Core,dP,Creature,Dark Elf,Common,Intelligence,,3,3,3,,Summon: Put a Firebolt into your hand if the top card of your deck is Intelligence.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Curse,LG-card-Curse.png,Core,dQ,Action,,Rare,Agility,,0,,,,Give a creature -1/-1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursed Spectre,LG-card-Cursed Spectre.png,Core,dR,Creature,Spirit,Common,Endurance,,4,2,2,,Prophecy Summon: Silence another creature.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,
Cygnus Standard Bearer,LG-card-Cygnus Standard Bearer.png,Moons of Elsweyr,wZ,Creature,Imperial,Legendary,Willpower,,4,3,2,,"Summon: Summon a 2/2 Imperial Soldier for each friendly support. When you summon a support, summon a 2/2 Imperial Soldier.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,
Cyriel,LG-card-Cyriel.png,Isle of Madness,dS,Creature,Wood Elf,Legendary,Agility,,3,3,3,,Pilfer: Reduce the cost of the top card of your deck by 3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daedric Crescent,LG-card-Daedric Crescent.png,Houses of Morrowind,dT,Item,,Common,Endurance,,3,,,,+2/+2 Slay: +1/+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Daedric Dagger,LG-card-Daedric Dagger.png,Core,dU,Item,,Common,Endurance,,2,,,,Lethal+1/+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daedric Incursion,LG-card-Daedric Incursion.png,Jaws of Oblivion,xr,Action,"",Common,Strength,,3,,,,Draw a random Daedra from your deck. Invade.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daedric Titan,LG-card-Daedric Titan.png,Alliance War,sR,Creature,Daedra,Epic,Agility,,5,6,4,,"While you have another creature in each line, Daedric Titan has Drain and your opponent can't target it with actions.",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Dagger,LG-card-Dagger.png,Isle of Madness,dl,Item,,Common,Strength,,1,,,,+2/+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daggerfall Mage,LG-card-Daggerfall Mage.png,Core,dV,Creature,Breton,Legendary,Intelligence,,3,2,2,,"Ward When Daggerfall Mage's Ward is broken, put a Tome of Alteration into your hand.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,
Daggerfall Phantom,LG-card-Daggerfall Phantom.png,Alliance War,ul,Creature,Spirit,Rare,,Daggerfall Covenant,2,2,2,,Last Gasp: Return all items equipped to Daggerfall Phantom to your hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daggers in the Dark,LG-card-Daggers in the Dark.png,Dark Brotherhood,dW,Action,,Common,Intelligence,,0,,,,Equip a Steel Dagger to a random friendly creature in each lane.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dagi-raht Mystic,LG-card-Dagi-raht Mystic.png,Core,dX,Creature,Khajiit,Epic,Willpower,,5,4,5,,Pilfer: Draw a random support from your deck.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dagoth Dagger,LG-card-Dagoth Dagger.png,Houses of Morrowind,dY,Item,,Common,Strength,,1,,,,Breakthrough+2/+1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dagoth Oathman,LG-card-Dagoth Oathman.png,Houses of Morrowind,dZ,Creature,Ash Creature,Common,Strength,,3,3,3,,"Summon: If you have a Agility card in play, +1/+1. Intelligence card in play, +1/+1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Dagoth Ur,LG-card-Dagoth Ur.png,Houses of Morrowind,ea,Creature,God,Legendary,,House Dagoth,12,8,8,,"Breakthrough, Charge, Drain, Guard, Lethal, Ward",,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Daring Cutpurse,LG-card-Daring Cutpurse.png,Core,eb,Creature,Khajiit,Common,Agility,,2,2,2,,Prophecy Pilfer: +1/+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daring Heist,LG-card-Daring Heist.png,Clockwork City,ec,Action,,Rare,Agility,,3,,,,Draw two cards. Daring Heist can't be played unless a creature in each lane damaged your opponent this turn.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Anchor,LG-card-Dark Anchor.png,Alliance War,sS,Creature,Portal,Epic,Endurance,,5,0,8,,"Your Daedra cost 1 less. When you draw a creature, transform it into a random Daedra.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Dark Guardian,LG-card-Dark Guardian.png,Dark Brotherhood,ed,Creature,Skeleton,Common,Endurance,,3,2,5,,"Guard When your opponent draws a Prophecy from a rune being destroyed, draw a card.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Harvester,LG-card-Dark Harvester.png,Core,ee,Creature,Dreugh,Common,Neutral,,7,2,4,,"Prophecy, Guard Summon: Gain 4 health.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Dark Mane,LG-card-Dark Mane.png,Monthly Card,yY,Creature,Khajiit,Epic,,Monk,2,2,3,,"When you summon a creature in this lane, if it's full, Dark Mane moves. When Dark Mane moves, it gains +2/+0 and Drain this turn.",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Rebirth,LG-card-Dark Rebirth.png,Heroes of Skyrim,ef,Action,,Common,Intelligence,,3,,,,Sacrifice a creature to summon a copy of it.,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Dark Rift,LG-card-Dark Rift.png,Core,eg,Support,,Epic,Intelligence,,3,"","",5,"Activate: Deal 1 damage to your opponent. If Dark Rift has dealt 5 damage, sacrifice it to summon a Storm Atronach.",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Dark Seducer,LG-card-Dark Seducer.png,Isle of Madness,eh,Creature,Daedra,Epic,Endurance,,8,7,7,,"Drain, Guard Dark Seducer Drains on both turns.",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Dawn's Wrath,LG-card-Dawn's Wrath.png,Core,ei,Action,,Legendary,Willpower,,8,,,,Destroy all creatures in a lane.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dawnbreaker,LG-card-Dawnbreaker.png,Core,ej,Item,,Legendary,Willpower,,4,,,,+4/+4 Slay: Banish the slain creature if it's Undead.,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Dawnfang,LG-card-Dawnfang.png,Isle of Madness,ek,Item,,Legendary,Neutral,,4,,,,"+0/+3 At the end of your turn, if Dawnfang is in your hand, change it into Duskfang. Slay: You gain 5 health.",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Dawnstar Healer,LG-card-Dawnstar Healer.png,Core,el,Creature,Nord,Epic,Willpower,,3,3,3,,"After an enemy rune is destroyed, you gain 3 health.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Dead Drop,LG-card-Dead Drop.png,Jaws of Oblivion,yw,Action,,Rare,Agility,,0,,,,"Give a friendly creature ""Slay: Put a Completed Contract into your hand"" this turn. It may move to attack creatures in the other lane this turn.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Deadly Draugr,LG-card-Deadly Draugr.png,Core,em,Creature,Skeleton,Common,Endurance,,1,1,1,,Lethal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Death Hound,LG-card-Death Hound.png,FrostSpark Collection,en,Creature,Beast,Epic,Endurance,,5,6,6,,Guard Death Hound's power is equal to its health.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Death Scythe,LG-card-Death Scythe.png,Tamriel Collection,Bk,Action,"",Epic,,House Telvanni,1,"","",,Drain Deal damage to a creature equal to the number of creatures that died this turn.,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deathless Draugr,LG-card-Deathless Draugr.png,Core,eo,Creature,Skeleton,Common,Endurance,,1,1,1,,Last Gasp: Summon a 1/1 Skeleton.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debilitate,LG-card-Debilitate.png,Alliance War,uz,Action,,Epic,Agility,,7,,,,Give all creatures -2/-2. Empower: Costs 1 less.,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deepwood Trapper,LG-card-Deepwood Trapper.png,Heroes of Skyrim,ep,Creature,Dark Elf,Epic,Agility,,1,1,3,,Guard Shackle creatures damaged by Deepwood Trapper.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,
Defense of Bruma,LG-card-Defense of Bruma.png,Jaws of Oblivion,yj,Action,,Epic,Willpower,,4,,,,Costs 2 less for each friendly creature with 5 or more health. Give friendly creatures +1/+1 and Guard.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demented Grummite,LG-card-Demented Grummite.png,Isle of Madness,kf,Creature,Grummite,Common,Neutral,,3,3,2,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deranged Corprus,LG-card-Deranged Corprus.png,Houses of Morrowind,eq,Creature,Ash Creature,Common,Agility,,2,0,1,,Deranged Corprus has +5/+0 on your turn.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Descendant of Alkosh,LG-card-Descendant of Alkosh.png,Core,er,Creature,Khajiit,Legendary,Willpower,,1,1,1,,Pilfer: +1/+1 and gains a random Keyword.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deshaan Avenger,LG-card-Deshaan Avenger.png,Core,es,Creature,Dark Elf,Rare,Agility,,4,3,3,,Last Gasp: Summon a 3/3 Deshaan Sneak.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
